pharmacy|药房；配药学，药剂学；制药业；一批备用药品
formula|[数] 公式，准则；配方；婴儿食品
harass|使困扰；使烦恼；反复袭击
combustible|易燃的；易激动的；燃烧性的 n. 可燃物；易燃物
purity|[化学] 纯度；纯洁；纯净；纯粹
calamity|灾难；不幸事件
inhuman|残忍的；野蛮的；无人性的
disavow|否认，否定；抵赖；拒绝对…的责任
diversify|使多样化，使变化；增加产品种类以扩大
amity|友好；亲善关系；友好关系
juncture|接缝；连接；接合
askew|歪斜的 adv. 歪斜地，斜地 n. (Askew)人名；(英)艾斯丘
preface|前言；引语 v. 为…加序言；以…开始
arithmetic|算术，算法
cadenza|装饰乐段
memorize|记住，背熟；记忆
ingenious|有独创性的；机灵的，精制的；心灵手巧的
waif|流浪者；流浪儿；飘流物；无主物；信号旗
collision|碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
stanch|止血；使不漏；平息 adj. 坚固的；忠实的；防水的
prehensile|适于抓握的；善于领会的
hodgepodge|大杂烩；混煮；一团糟 vt. 使混乱
ribald|下流的；言谈粗俗的 n. 言谈粗俗的人；说下流话的人
undue|过度的，过分的；不适当的；未到期的
biodegradable|生物所能分解的，能进行生物降解的
saline|盐的；含盐分的 n. 盐湖；碱盐泻药
recombination|复合，再结合；[遗] 重组
preferential|优先的；选择的；特惠的；先取的
vulnerable|易受攻击的，易受…的攻击；易受伤害的；有弱点的
digit|数字；手指或足趾；一指宽
antipathy|反感；厌恶；憎恶；不相容
carnal|肉体的；肉欲的；淫荡的；性欲的 n. (Carnal)人名；(西)卡纳尔
stealth|秘密；秘密行动；鬼祟
beaker|烧杯；大口杯
meddler|干涉者；爱管闲事的人
decent|正派的；得体的；相当好的
transcendent|卓越的；超常的；出类拔萃的 n. 卓越的人；超绝物
modulate|调节；（信号）调制；调整
untoward|不幸的；麻烦的；倔强的；困难的
iron|熨斗；烙铁；坚强 v. 熨；用铁铸成 adj. 铁的；残酷的；刚强的
acclaim|称赞；为…喝彩，向…欢呼 n. 欢呼，喝彩；称赞
adhere|坚持；依附；粘着；追随
fern|[植] 蕨；[植] 蕨类植物
naive|天真的,幼稚的
distraught|发狂的；心烦意乱的
salacious|好色的；猥亵的；淫荡的
supercilious|目空一切的，高傲的；傲慢的，自大的
giraffe|长颈鹿
perspicuous|明了的；清晰明白的；易懂的
donate|捐赠；捐献 n. 捐赠；捐献
skirt|裙子 v. 绕过，回避；位于…边缘
elicit|抽出，引出；引起
integer|[数] 整数；整体；完整的事物
clergy|神职人员；牧师；僧侣
compliment|恭维；称赞；问候；致意；道贺 v. 恭维；称赞
unequivocal|明确的；不含糊的
incredulous|怀疑的；不轻信的
glimpse|一瞥，一看 v. 瞥见
soda|苏打；碳酸水
altruistic|利他的；无私心的
pallid|苍白的；暗淡的；无生气的
cession|（权利的）转让，出让；（领土的）割让
adjuration|严令；恳请；立誓
forage|饲料；草料；搜索 v. 搜寻粮草；搜寻
erudite|博学的；有学问的 n. 饱学之士
retouch|润饰；修整部分 v. 润饰；修整
conception|怀孕；概念；设想；开始
warrant|根据；证明；正当理由；委任状 v. 保证；担保；批准；辩解
body|身体；主体；大量；团体；主要部分 v. 赋以形体
trepidation|恐惧；惊恐；忧虑；颤抖
haggard|憔悴的；野性的 n. 野鹰
egregious|惊人的；过分的；恶名昭彰的
acclivity|向上的斜坡；[建] 上斜
virtuoso|艺术品鉴赏家；古董收藏家；艺术大师 adj. 行家里手的；艺术爱好者的
captious|挑剔的；吹毛求疵的
adulate|过分称赞；谄媚；奉承
antenatal|产前的；出生前的
solecism|语法错误，文理不通；谬误，失礼
semiconscious|半意识的；半清醒的
perambulate|巡行；巡视；漫步
mishap|灾祸；不幸事故；晦气
butte|孤峰；孤立的丘
impromptu|即兴曲；即席演出 adv. 即席地 adj. 即席的
mystify|使神秘化；使迷惑，使困惑
frenzied|疯狂的；狂乱的；激怒的 v. 使狂乱（frenzy的过去式）
ken|视野范围，见地，知识范围
counterpoint|复调；对位法；旋律配合；对应物
submerge|淹没；把…浸入；沉浸
derisive|嘲笑的，嘲弄的；可付之一笑的
light|光；光线；灯；打火机；领悟；浅色；天窗 adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的 v. 点着；变亮；着火 adv. 轻地；清楚地；轻便地
key|（打字机等的）键；关键；钥匙 v. 键入；锁上；调节…的音调；提供线索 adj. 关键的
coup|政变；妙计；出乎意料的行动；砰然的一击 vt. 使…颠倒；使…倾斜 vi. 推倒；倾斜；溢出
insulin|[生化][药] 胰岛素
script|脚本；手迹；书写用的字母 v. 把…改编为剧本
measurement|测量；[计量] 度量；尺寸；量度制
scowl|愁容；怒容；阴沉沉的样子 v. 皱眉；怒视
receptive|善于接受的；能容纳的
propellant|推进物；推进燃料；发射火药 adj. 推进的
comprise|包含；由…组成
typography|排印；[印刷] 活版印刷术；印刷格式
pedantic|迂腐的；学究式的；卖弄学问的；假装学者的
diode|[电子] 二极管
statuesque|雕像般的；轮廓清晰的；均衡的
terminate|使终止；使结束；解雇 adj. 结束的
illustrious|著名的，杰出的；辉煌的
set|[数] 集合；一套；布景；[机] 装置 v. 树立；点燃；点缀； adj. 固定的；规定的；固执的
virtuous|善良的；有道德的；贞洁的；正直的；有效力的
kinetic|[力] 运动的；活跃的
consensus|一致；舆论；合意
dictatorial|独裁的，专政的；专横傲慢的
submersion|淹没，浸没
plural|复数的 n. 复数
bursar|财务主管；会计员；领取奖学金的学生
assimilation|同化；吸收；[生化] 同化作用
enhance|提高；加强；增加
irascible|易怒的
gratuity|赏钱，小费；赠物；[劳经] 退职金
instantaneous|瞬间的；即时的；猝发的
naturalistic|自然的；自然主义的；博物学的
suspension|悬浮；暂停；停职
tenuous|纤细的；稀薄的；贫乏的
languish|憔悴；凋萎；失去活力；苦思
equanimity|平静；镇定
dimension|方面;[数] 维；尺寸；次元；容积 vt标出尺寸 adj. 规格的
recollect|回忆，想起
trammel|束缚；拘束；阻碍 n. 拘束；束缚；束缚物
peevish|易怒的，暴躁的；带怒气的；撒娇的
cilia|纤毛；睫毛
outlaw|歹徒；罪犯；亡命之徒；被剥夺法律保护者 v. 宣布…为不合法；将…放逐；剥夺…的法律保护
camaraderie|友情；同志之爱
respiration|呼吸；呼吸作用
ancestry|祖先；血统
symphonious|和谐的；调和的
punctuate|不时打断；强调；加标点于
indigence|穷困；贫乏；贫穷
cajole|以甜言蜜语哄骗；勾引
forsake|放弃；断念
mariner|水手；船员
bizarre|奇异的（指态度，容貌，款式等）
saccharine|含糖的；极甜的；和颜悦色的 n. （美）糖精
terse|简洁的，精练的，扼要的
polemics|辩论术；论证法（polemic的复数）
retinue|随行人员；扈从
renaissance|文艺复兴（欧洲14至17世纪）
urbane|彬彬有礼的，温文尔雅的；都市化的
ecstatic|狂喜的；入迷的 n. 狂喜的人
gypsum|用石膏处理；施石膏肥料于 n. 石膏；石膏肥料
apparatus|装置，设备；仪器；器官
embrace|拥抱；信奉，皈依；包含 n. 拥抱
inhibit|抑制；禁止
contradictory|矛盾的；反对的；反驳的；抗辩的 n. 对立物；矛盾因素
prohibitive|禁止的，禁止性的；抑制的；（费用，价格等）过高的；类同禁止的
vociferate|喊叫；大叫
archaeology|考古学
alimentary|滋养的；食物的
credulity|轻信；易受骗
counteract|抵消；中和；阻碍
apogee|最高点，极点；远地点 vt. 位于远地点；位于最高点
rabid|激烈的；狂暴的；偏激的；患狂犬病的
diurnal|白天的；每日的，一日间的 n. 日记账；日报，日刊
emotion|情感；情绪
heteromorphic|[生物] 异形的，[生物] 异态的；[化学] 多晶型的
displace|取代；置换；转移；把…免职；排水
stripling|年轻人，小伙子
terrify|恐吓；使恐怖；使害怕
indolent|懒惰的；无痛的
recriminate|反责；反唇相讥
apparent|显然的；表面上的
perennial|多年生的；常年的；四季不断的；常在的；反复的 n. 多年生植物
inimical|敌意的；有害的
heterogeneity|[生物] 异质性；[化学] 不均匀性；[化学] 多相性
nominate|推荐；提名；任命；指定
seclusion|隔离；隐退；隐蔽的地方
polar|极地的；两极的；正好相反的 n. 极面；极线
scour|冲刷；擦；腹泻 n. 擦，冲刷；洗涤剂；（畜类等的）腹泻
stigma|[植] 柱头；耻辱；污名；烙印；特征
refractory|难治的；难熔的；不听话的 n. 倔强的人；耐火物质
disregard|忽视；不理；漠视；不顾 n. 忽视；不尊重
simultaneous|同时的；联立的；同时发生的 n. 同时译员
levee|堤坝（码头）；（旧时君主或显贵的）早晨接见 vt. 为…筑堤
pollute|污染；玷污；败坏
prejudice|偏见；侵害 v. 损害；使有偏见
stern|船尾；末端 adj. 严厉的；坚定的
colloid|胶质的 n. [物化] 胶质
admittance|进入；入场权；通道
ductile|柔软的；易教导的；易延展的
divergent|相异的，分歧的；散开的
triangle|三角（形）；三角关系；三角形之物；三人一组
detonate|使爆炸
occult|神秘的；超自然的；难以理解的 v. 掩蔽 n. 神秘学
inchoate|早期的；刚开始的；未充分发展的 vt. 开始 vi. 开始
placenta|[胚] 胎盘；[植] 胎座
inconsistent|不一致的；前后矛盾的
adhesion|粘附；支持；固定
taunt|嘲弄；讥讽 v. 奚落；逗弄 adj. 很高的
juxtaposition|并置，并列；毗邻
testament|[法] 遗嘱；圣约；确实的证明
acquainted|熟识的；知晓的；有知识的 v. 使了解（acquaint的过去分词）
inventive|发明的；有发明才能的；独出心裁的
adversity|逆境；不幸；灾难；灾祸
erratic|不稳定的；古怪的 n. 漂泊无定的人；古怪的人
reck|顾虑；和…相干 vi. 介意；有关系 n. (Reck)人名；(英、德、匈、波)雷克
instruct|指导；通知；命令；教授
substantiate|证实；使实体化
centurion|百夫长；百人队队长
recuperate|恢复，复原；挽回损失
diagonal|斜的；对角线的；斜纹的 n. 对角线；斜线
prehension|理解；抓住
effigy|雕像，肖像
neutrality|中立；中性；中立立场
competence|能力，胜任；权限；作证能力；足以过舒适生活的收入
rapine|掠夺；劫掠
appropriate|适当的；恰当的；合适的 v. 占用，拨出
benignant|良性的；仁慈的；有益的；和蔼的
overlap|重叠；重复 v. 部分重叠；部分的同时发生
premise|引出，预先提出；作为…的前提 n. 前提；上述各项；房屋连地基
outburst|（火山、情感等的）爆发；破裂
usurious|高利贷的
forthright|直率的；直截了当的 adv. 直率地；马上；立即 n. 直路
inviolable|不可侵犯的；神圣的；不可亵渎的
academy|学院；研究院；学会；专科院校
encyclopedia|百科全书（亦是encyclopaedia）
conventional|符合习俗的，传统的；常见的；惯例的
intersect|相交，交叉
dearth|缺乏；饥馑；粮食不足
bridge|桥；桥牌；桥接器；船桥 v. 架桥；渡过
release|释放；发射；让与；允许发表 n. 释放；发布；让与
accolade|荣誉；荣誉称号授予仪式；连谱号；称赞
appreciate|欣赏；感激；领会；鉴别
equivalent|等价的，相等的；同意义的 n. 等价物，相等物
nomadic|游牧的；流浪的；游动的
scope|范围；余地；视野；眼界；导弹射程 v. 审视
erosion|侵蚀，腐蚀
organelle|[细胞] 细胞器；细胞器官
mutation|[遗] 突变；变化；元音变化
combustion|燃烧，氧化；骚动
adverse|不利的；相反的；敌对的（名词adverseness，副词adversely）
achromatic|消色差的；非染色质的；非彩色的
affiliate|联号；隶属的机构等 v. 使附属；接纳；使紧密联系
fungi|真菌；菌类；蘑菇（fungus的复数）
variegated|杂色的；斑驳的；富于变化的 v. 成为杂色（variegate的过去式）
poverty|贫困；困难；缺少；低劣
stupor|昏迷，恍惚；麻木
inhume|埋葬；土葬
indifferent|漠不关心的；无关紧要的；中性的，中立的
generator|发电机；发生器；生产者
evolve|发展，进化；进化；使逐步形成；推断出
abstract|摘要；抽象；抽象的概念 adj. 抽象的；深奥的 v. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
granule|颗粒
bauxite|矾土，[矿物] 铁铝氧石；[矿物] 铝土矿
bowdlerize|删改；删除不妥的文句
puissant|强大的，强盛的；有势力的，有权力的 n. (Puissant)人名；(法)皮桑
shriek|尖叫；促人注意 n. 尖声；尖锐的响声
esteem|尊敬；认为；考虑；估价 n. 尊重；尊敬
diligent|勤勉的；用功的，费尽心血的 n. (Diligent)人名；(法)迪利让
renunciation|放弃；脱离关系；拒绝承认；抛弃；弃权
propitious|适合的；吉利的；顺利的
divisor|除数；因子
vile|卑鄙的；邪恶的；低廉的；肮脏的 n. (Vile)人名；(英)瓦伊尔；(芬)维莱
eradicate|根除，根绝；消灭
everlasting|永恒的；接连不断的
venerate|崇敬，尊敬
duration|持续，持续的时间，期间
benediction|祝福；赐福；恩赐；祈求上帝赐福的仪式
unconscious|无意识的；失去知觉的；不省人事的；未发觉的
